Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Maasmechelen,3630,House,house,1390000,4,389,0,0,0,0,0,0,2258,4,221,3,https://www.immoweb.be/en/classified/house/for-sale/maasmechelen/3630/20021123,3573.2647814910024,0.014828611399151384,0.556,0.17167495000000002,1.0,0.5356062052779402,0.5728,0.556,0.783305349684755,0.26823308270676693
Wandre,4020,House,villa,484000,4,178,0,0,0,0,1,1,982,3,301,3,https://www.immoweb.be/en/classified/villa/for-sale/wandre/4020/20205250,2719.1011235955057,0.011283936786786138,0.1936,0.1423800727272727,1.0,0.5356062052779402,0.21335910588235296,0.3832,0.783305349684755,0.31512113617376775
Sint-niklaas,9100,House,bungalow,535000,2,146,0,0,0,1,0,0,4783,2,494,5,https://www.immoweb.be/en/classified/bungalow/for-sale/sint-niklaas/9100/20300712,3664.3835616438355,0.01520674318189805,0.214,0.18940947368421054,1.0,0.2396759183972921,0.18571870967741935,0.214,1.0,0.48370927318295737
Sint-katelijne-waver,2860,House,house,525000,3,170,1,0,1,0,0,0,360,5,197,3,https://www.immoweb.be/en/classified/house/for-sale/sint-katelijne-waver/2860/20241171,3088.235294117647,0.0128157984045353,0.21,0.235825,1.0,0.36599695373253655,0.2236152307692308,0.17317376,0.783305349684755,0.31114628676955547
Haacht,3150,House,villa,785000,3,260,0,0,0,1,0,0,606,4,213,3,https://www.immoweb.be/en/classified/villa/for-sale/haacht/3150/20300706,3019.230769230769,0.012529438073884512,0.314,0.34393333333333337,1.0,0.36599695373253655,0.32858666666666664,0.26186666666666664,0.783305349684755,0.3751651856915015
Sint-agata-berchem,1082,House,house,1450000,5,381,1,0,0,0,0,1,1960,0,560,5,https://www.immoweb.be/en/classified/house/for-sale/sint-agata-berchem/1082/20083335,3805.774278215223,0.015793497346421458,0.58,0.18682222222222222,1.0,0.7251596118954756,0.589,0.645,1.0,0.7268170426065163
Willebroek,2830,House,villa,795000,3,195,0,0,1,0,0,1,500,6,56,5,https://www.immoweb.be/en/classified/villa/for-sale/willebroek/2830/20300705,4076.923076923077,0.016918731666646602,0.318,0.17971489361702128,1.0,0.36599695373253655,0.257739525,0.32390348571428573,1.0,0.24942355889724308
Meise,1860,House,exceptional-property,1300000,5,432,1,0,0,1,1,1,10453,3,342,5,https://www.immoweb.be/en/classified/exceptional-property/for-sale/meise/1860/20082850,3009.259259259259,0.012488057528228843,0.52,0.31320000000000003,1.0,0.7251596118954756,0.5845333333333333,0.52,1.0,0.5722639933166249
Keerbergen,3140,House,house,569000,3,151,0,0,0,0,1,0,595,6,11,3,https://www.immoweb.be/en/classified/house/for-sale/keerbergen/3140/20300690,3768.2119205298013,0.01563761816046294,0.2276,0.3516705882352941,1.0,0.36599695373253655,0.19745963333333336,0.21160013333333336,0.783305349684755,0.3288220551378446
Waterloo,1410,House,house,645000,3,160,1,0,0,1,1,0,882,3,278,3,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20210129,4031.25,0.01672919398877733,0.258,0.30872063492063495,1.0,0.36599695373253655,0.215385375,0.20700000000000002,0.783305349684755,0.21312656641604008
Habayhabay-la-neuve,6720,House,exceptional-property,940000,6,263,1,0,1,0,1,0,1289,4,174,5,https://www.immoweb.be/en/classified/exceptional-property/for-sale/habay%20%28habay-la-neuve%29/6720/20303048,3574.144486692015,0.014832262068040855,0.376,0.2205,1.0,0.8479828830964767,0.373,0.376,1.0,0.3119211071156151
Ixelles,1050,House,mixed-use-building,899000,5,253,0,0,0,0,1,0,90,1,293,3,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ixelles/1050/20230931,3553.3596837944665,0.01474600768052046,0.3596,0.3055045009009009,1.0,0.7251596118954756,0.31679999999999997,0.19077594285714286,0.783305349684755,0.2911825017088175
Waterloo,1410,House,villa,1150000,4,380,1,0,0,1,1,0,1694,0,524,5,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/20285855,3026.315789473684,0.012558840040534593,0.46,0.30872063492063495,1.0,0.5356062052779402,0.4748,0.46,1.0,0.4132832080200501
Gentsint-amandsberg,9040,House,house,480000,3,136,1,0,0,0,1,0,264,0,0,0,https://www.immoweb.be/en/classified/house/for-sale/gent%20sint-amandsberg/9040/20302992,3529.4117647058824,0.014646626748040344,0.192,0.16121333333333335,1.0,0.36599695373253655,0.17461266666666667,0.1901,0.7864438202662855,0.2372536722133202
Gentsint-amandsberg,9040,House,house,480000,3,135,1,0,0,0,1,0,263,0,0,0,https://www.immoweb.be/en/classified/house/for-sale/gent%20sint-amandsberg/9040/20302988,3555.5555555555557,0.01475512027950731,0.192,0.16121333333333335,1.0,0.36599695373253655,0.18563768421052632,0.28386666666666666,0.7864438202662855,0.2372536722133202
Uccle,1180,House,house,895000,6,290,1,0,1,1,1,0,235,2,251,5,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20302979,3086.206896551724,0.012807380802955967,0.358,0.30779215302013424,1.0,0.8479828830964767,0.36555,0.3190857142857143,1.0,0.4347081990691013
Berchem,2600,House,house,599000,3,188,1,0,0,1,0,0,73,5,135,3,https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/20300665,3186.1702127659573,0.013222216327597059,0.2396,0.20190388059701492,1.0,0.36599695373253655,0.2605583789473684,0.23,0.783305349684755,0.21310418904403866
Liedekerke,1770,House,bungalow,495000,4,175,1,0,0,1,1,0,781,3,397,3,https://www.immoweb.be/en/classified/bungalow/for-sale/liedekerke/1770/20260905,2828.5714285714284,0.011738225150929475,0.198,0.1526909090909091,1.0,0.5356062052779402,0.22950769999999998,0.26920000000000005,0.783305349684755,0.3199665831244779
Zoersel,2980,House,house,575000,4,213,1,0,1,1,1,0,1586,5,189,4,https://www.immoweb.be/en/classified/house/for-sale/zoersel/2980/20314646,2699.5305164319248,0.011202721162918181,0.23,0.21639636363636364,1.0,0.5356062052779402,0.2622985411764706,0.24973333333333333,0.7529000001650661,0.2703802985725182
Gent,9052,House,villa,930000,3,262,1,0,1,0,1,1,789,6,36,5,https://www.immoweb.be/en/classified/villa/for-sale/gent/9052/20271131,3549.618320610687,0.01473048148133065,0.372,0.1860721894736842,1.0,0.36599695373253655,0.38571428571428573,0.2372,1.0,0.3051996992481203
Heusy,4802,House,house,449000,4,149,1,0,0,1,1,0,1101,4,234,3,https://www.immoweb.be/en/classified/house/for-sale/heusy/4802/20302881,3013.422818791946,0.012505335790580755,0.1796,0.17114282857142857,1.0,0.5356062052779402,0.19254402666666665,0.2097,0.783305349684755,0.21021303258145363
Schilde,2970,House,villa,1700000,4,558,1,0,1,1,1,1,2062,4,285,5,https://www.immoweb.be/en/classified/villa/for-sale/schilde/2970/20306750,3046.5949820788533,0.012642996207239127,0.68,0.40587327777777776,1.0,0.5356062052779402,0.8306666666666667,0.68,1.0,0.31189083820662766
Mechelen,2800,Apartment,apartment,269000,2,70,0,0,0,0,0,0,0,5,189,3,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20300701,3842.8571428571427,0.01594738669494964,0.1076,0.1734821230769231,0.47654732029513713,0.2396759183972921,0.09711912328767124,0.13700230701200253,0.783305349684755,0.2703802985725182
Neder-over-heembeek,1120,House,house,459000,3,160,1,0,0,1,1,0,180,2,246,3,https://www.immoweb.be/en/classified/house/for-sale/neder-over-heembeek/1120/20104034,2868.75,0.011904961303641543,0.1836,0.11778571428571429,1.0,0.36599695373253655,0.215385375,0.2692,0.783305349684755,0.21320990938885676
